Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor GMM
2012;Alcochete;0.125;0.0;0.425;0.0;0.92;1.0;0.255;1.0;1346.7
2012;Alenquer;0.575;0.091;0.216;0.0;0.38;1.0;0.521;0.516;1025.4
2012;Aljustrel;0.101;0.22;0.087;0.0;0.871;0.523;0.243;0.51;1021.7
2012;Almada;0.453;0.188;0.192;0.0;1.0;1.0;1.0;0.53;1034.9
2012;Amadora;0.784;0.324;0.655;0.0;1.0;1.0;1.0;0.899;1279.5
2012;Aveiro;0.23;0.0;0.202;0.0;0.889;0.544;1.0;0.65;1114.4
2012;Azambuja;0.498;0.0;0.021;0.0;0.812;1.0;0.388;0.657;1118.9
2012;Barreiro;0.275;0.045;0.303;0.007;1.0;1.0;1.0;0.563;1056.7
2012;Calheta [R.A.M.];0.362;1.0;0.362;0.0;1.0;0.812;0.177;0.687;1138.9
2012;Campo Maior;1.0;0.523;0.575;0.0;1.0;0.0;0.433;0.793;1209.7
2012;Cascais;0.237;0.0;0.118;0.0;0.676;0.735;1.0;0.72;1161.2
2012;Castro Verde;0.213;0.404;0.0;0.038;0.882;0.15;0.172;1.0;1346.7
2012;Coimbra;0.122;0.15;0.118;0.0;0.777;0.672;1.0;0.577;1066.0
2012;Constância;0.359;0.348;0.359;0.0;0.359;0.523;0.062;0.656;1118.3
2012;Entroncamento;0.07;0.094;0.0;0.0;0.0;1.0;0.322;0.551;1048.7
2012;Estarreja;0.317;0.0;0.0;0.0;0.679;0.61;0.651;0.587;1073.1
2012;Évora;0.202;0.282;0.164;0.0;0.794;0.481;1.0;0.508;1020.1
2012;Faro;0.261;0.091;0.213;0.0;1.0;0.965;1.0;0.566;1058.9
2012;Figueira da Foz;0.195;0.0;0.167;0.0;0.763;0.474;1.0;0.589;1073.8
2012;Funchal;0.244;0.523;0.111;0.003;0.948;1.0;1.0;0.616;1092.1
2012;Lisboa;0.275;0.153;0.181;0.0;0.794;1.0;1.0;1.0;1346.7
2012;Loures;0.526;0.164;0.279;0.0;1.0;1.0;1.0;0.685;1137.8
2012;Machico;0.47;1.0;0.251;0.0;0.882;0.739;0.413;0.521;1028.7
2012;Maia;0.164;0.282;0.017;0.0;1.0;0.467;1.0;0.722;1162.4
2012;Marinha Grande;0.052;0.0;0.077;0.0;1.0;0.843;0.711;0.7;1147.6
2012;Matosinhos;0.46;0.118;0.167;0.0;0.84;0.216;1.0;0.658;1119.6
2012;Oeiras;0.348;0.077;0.233;0.463;0.906;0.895;1.0;1.0;1346.7
2012;Oliveira de Frades;0.38;0.244;0.0;0.0;0.592;1.0;0.043;0.69;1140.8
2012;Palmela;0.233;0.0;0.031;0.0;0.962;0.47;0.978;0.909;1286.2
2012;Porto;0.129;0.254;0.108;0.0;0.544;0.774;1.0;0.928;1299.2
2012;Porto Santo;0.164;0.906;0.202;0.0;1.0;1.0;0.051;0.666;1125.4
2012;Santa Cruz;0.415;0.787;0.0;0.0;0.784;0.0;0.688;0.564;1057.4
2012;Seixal;0.307;0.028;0.23;0.0;1.0;1.0;1.0;0.738;1172.7
2012;Setúbal;0.213;0.0;0.275;0.0;1.0;1.0;1.0;0.774;1197.1
2012;Sines;0.474;0.247;0.474;0.0;1.0;0.415;0.407;1.0;1346.7
2012;Sintra;0.439;0.017;0.341;0.0;1.0;1.0;1.0;0.751;1181.8
2012;Torre de Moncorvo;0.854;0.296;0.397;0.087;1.0;0.425;0.035;0.702;1149.2
2012;Vila Franca de Xira;0.488;0.0;0.202;0.0;0.77;1.0;1.0;0.701;1148.5
2012;Vila Nova de Gaia;0.268;0.017;0.101;0.0;0.767;0.662;1.0;0.517;1026.2
2012;Vila Velha de Ródão;0.359;0.359;0.359;0.359;0.359;0.359;0.02;0.661;1121.8
2013;Alcochete;0.293;0.045;0.613;0.0;1.0;1.0;0.251;1.0;1346.7
2013;Alenquer;0.362;0.0;0.348;0.0;1.0;1.0;0.446;0.565;1058.5
2013;Aljustrel;0.0;0.0;0.0;0.0;0.983;0.0;0.242;0.536;1038.8
2013;Almada;0.338;0.0;0.31;0.0;1.0;1.0;1.0;0.521;1029.1
2013;Amadora;0.443;0.143;0.467;0.0;1.0;1.0;1.0;0.885;1270.3
2013;Aveiro;0.261;0.0;0.223;0.0;0.854;0.652;1.0;0.627;1099.3
2013;Azambuja;0.394;0.0;0.094;0.0;1.0;1.0;0.355;0.682;1135.7
2013;Barreiro;0.39;0.0;0.275;0.0;1.0;0.948;1.0;0.565;1058.2
2013;Calheta [R.A.M.];0.233;0.31;0.247;0.0;0.669;0.115;0.147;0.583;1070.3
2013;Campo Maior;0.425;0.0;0.387;0.397;1.0;1.0;0.384;0.749;1180.2
2013;Cascais;0.237;0.0;0.153;0.0;0.822;0.812;1.0;0.72;1161.1
2013;Castro Verde;0.0;0.0;0.0;0.0;0.491;0.0;0.132;1.0;1346.7
2013;Coimbra;0.063;0.098;0.108;0.0;0.78;0.624;1.0;0.6;1081.7
2013;Constância;0.314;0.314;0.314;0.0;0.314;0.0;0.047;0.678;1133.0
2013;Entroncamento;0.0;0.293;0.0;0.0;0.456;0.805;0.27;0.588;1073.3
2013;Estarreja;0.443;0.0;0.188;0.0;0.617;1.0;0.578;0.604;1084.4
2013;Évora;0.108;0.15;0.132;0.0;0.993;0.54;1.0;0.531;1035.4
2013;Faro;0.073;0.028;0.031;0.0;1.0;1.0;1.0;0.568;1060.0
2013;Figueira da Foz;0.0;0.049;0.035;0.0;0.47;0.669;1.0;0.566;1059.1
2013;Funchal;0.136;0.443;0.139;0.0;0.721;0.659;1.0;0.635;1104.7
2013;Lisboa;0.286;0.0;0.178;0.0;0.78;1.0;1.0;1.0;1346.7
2013;Loures;0.293;0.0;0.254;0.0;1.0;1.0;1.0;0.666;1125.5
2013;Machico;0.345;0.202;0.199;0.0;0.99;1.0;0.354;0.552;1049.5
2013;Maia;0.153;0.16;0.122;0.0;1.0;0.711;1.0;0.743;1176.0
2013;Marinha Grande;0.0;0.0;0.049;0.0;0.774;0.132;0.674;0.712;1155.6
2013;Matosinhos;0.512;0.0;0.254;0.0;0.794;0.394;1.0;0.671;1128.3
2013;Oeiras;0.24;0.017;0.146;0.0;1.0;1.0;1.0;1.0;1346.7
2013;Oliveira de Frades;0.0;0.0;0.0;0.202;0.784;1.0;0.027;0.581;1068.8
2013;Palmela;0.059;0.0;0.052;0.0;1.0;0.603;0.782;0.928;1299.1
2013;Porto;0.105;0.084;0.031;0.0;0.47;0.756;1.0;0.967;1324.9
2013;Porto Santo;0.233;0.0;0.063;0.0;1.0;0.812;0.044;0.795;1210.5
2013;Santa Cruz;0.105;0.132;0.07;0.0;1.0;0.812;0.558;0.584;1070.8
2013;Seixal;0.317;0.0;0.334;0.0;1.0;1.0;1.0;0.726;1164.7
2013;Setúbal;0.348;0.0;0.341;0.0;0.979;1.0;1.0;0.77;1193.9
2013;Sines;0.223;0.0;0.557;0.118;1.0;1.0;0.343;1.0;1346.7
2013;Sintra;0.53;0.0;0.244;0.0;1.0;1.0;1.0;0.762;1189.1
2013;Torre de Moncorvo;0.659;0.495;0.0;0.0;1.0;0.15;0.038;0.644;1110.6
2013;Vale de Cambra;0.272;0.0;0.0;0.0;0.742;0.474;0.114;0.5;1015.1
2013;Vila Franca de Xira;0.387;0.0;0.328;0.0;0.913;1.0;1.0;0.702;1148.8
2013;Vila Nova de Gaia;0.226;0.0;0.111;0.0;0.791;0.54;1.0;0.529;1034.5
2013;Vila Velha de Ródão;0.317;0.317;0.317;0.317;0.317;0.317;0.015;0.747;1179.2
2013;Vila Viçosa;0.345;0.275;0.226;0.0;1.0;0.0;0.15;0.502;1016.4
2014;Abrantes;0.136;0.08;0.157;0.0;0.742;0.502;0.627;0.502;1016.3
2014;Alcochete;0.314;0.0;0.105;0.0;1.0;1.0;0.25;1.0;1346.7
2014;Alenquer;0.502;0.0;0.261;0.0;0.0;1.0;0.345;0.592;1076.3
2014;Aljustrel;0.0;0.0;0.387;0.0;0.47;0.0;0.236;0.535;1038.3
2014;Almada;0.279;0.0;0.261;0.0;1.0;1.0;1.0;0.515;1025.3
2014;Amadora;0.571;0.0;0.39;0.0;1.0;1.0;1.0;0.914;1289.4
2014;Aveiro;0.15;0.0;0.045;0.0;0.784;0.575;1.0;0.662;1122.4
2014;Azambuja;0.049;0.0;0.125;0.0;1.0;1.0;0.299;0.649;1113.7
2014;Barreiro;0.275;0.0;0.24;0.0;1.0;1.0;1.0;0.599;1080.7
2014;Calheta [R.A.M.];0.439;0.115;0.0;1.0;0.707;0.0;0.142;0.688;1139.7
2014;Campo Maior;1.0;0.0;0.111;0.0;1.0;0.0;0.319;0.766;1191.5
2014;Cascais;0.206;0.0;0.08;0.0;0.735;0.666;1.0;0.714;1157.2
2014;Castro Verde;0.697;0.0;0.0;0.0;0.467;0.105;0.099;1.0;1346.7
2014;Coimbra;0.202;0.0;0.021;0.0;0.704;0.735;1.0;0.557;1052.7
2014;Constância;0.268;0.268;0.268;0.268;0.268;0.0;0.029;0.695;1144.6
2014;Entroncamento;0.422;0.0;0.0;0.0;0.551;0.554;0.231;0.619;1093.8
2014;Estarreja;0.47;0.0;0.0;0.0;0.857;1.0;0.536;0.544;1044.1
2014;Évora;0.042;0.0;0.0;0.0;0.202;0.533;1.0;0.535;1038.6
2014;Faro;0.226;0.08;0.0;0.0;0.962;1.0;1.0;0.581;1068.7
2014;Figueira da Foz;0.063;0.0;0.056;0.0;0.578;0.307;0.99;0.576;1065.7
2014;Funchal;0.094;0.596;0.15;0.0;0.638;0.739;1.0;0.615;1091.5
2014;Lisboa;0.279;0.0;0.181;0.0;0.801;1.0;1.0;1.0;1346.7
2014;Loures;0.275;0.0;0.331;0.0;1.0;1.0;1.0;0.671;1128.3
2014;Machico;0.394;0.07;0.101;0.0;1.0;1.0;0.309;0.56;1055.1
2014;Maia;0.244;0.028;0.118;0.0;0.791;0.885;1.0;0.739;1173.6
2014;Marinha Grande;0.0;0.0;0.0;0.0;0.801;0.331;0.631;0.747;1178.7
2014;Matosinhos;0.544;0.0;0.178;0.0;1.0;0.425;1.0;0.664;1123.9
2014;Oeiras;0.275;0.0;0.059;0.0;0.92;0.645;1.0;1.0;1346.7
2014;Oliveira de Frades;0.052;0.0;0.0;0.066;0.453;1.0;0.024;0.564;1057.4
2014;Palmela;0.307;0.0;0.014;0.0;0.951;0.432;0.612;0.973;1328.7
2014;Porto;0.07;0.0;0.0;0.0;0.443;0.578;1.0;0.94;1307.2
2014;Porto Santo;0.195;0.265;0.348;0.0;0.812;1.0;0.06;0.667;1125.6
2014;Santa Cruz;0.087;0.0;0.0;0.0;0.871;0.812;0.362;0.574;1064.1
2014;Seixal;0.369;0.0;0.153;0.0;1.0;1.0;1.0;0.686;1138.5
2014;Setúbal;0.289;0.0;0.098;0.0;1.0;0.843;1.0;0.774;1196.5
2014;Sines;0.523;0.035;0.348;0.0;1.0;1.0;0.311;1.0;1346.7
2014;Sintra;0.484;0.0;0.22;0.0;1.0;1.0;1.0;0.761;1187.9
2014;Vale de Cambra;0.056;0.0;0.0;0.0;0.338;0.38;0.098;0.525;1031.7
2014;Vila Franca de Xira;0.394;0.0;0.167;0.0;0.61;1.0;1.0;0.648;1113.1
2014;Vila Nova de Gaia;0.22;0.0;0.073;0.0;0.969;0.561;1.0;0.552;1049.8
2014;Vila Velha de Ródão;0.272;0.272;0.272;0.272;0.272;0.272;0.155;0.691;1141.5
2015;Alcochete;0.0;0.0;0.0;0.0;1.0;1.0;0.203;1.0;1346.7
2015;Alenquer;0.331;0.0;0.213;0.0;0.571;0.756;0.25;0.587;1072.8
2015;Aljustrel;0.0;0.017;0.275;0.0;0.812;0.0;0.195;0.604;1084.4
2015;Almada;0.247;0.0;0.157;0.0;0.847;1.0;1.0;0.556;1052.0
2015;Amadora;0.422;0.052;0.233;0.0;1.0;1.0;1.0;0.905;1283.6
2015;Aveiro;0.073;0.0;0.017;0.0;0.53;0.355;0.963;0.664;1124.1
2015;Azambuja;0.697;0.0;0.0;0.0;0.923;0.753;0.243;0.66;1121.1
2015;Barreiro;0.254;0.0;0.035;0.0;0.829;1.0;1.0;0.597;1079.7
2015;Benavente;0.157;0.0;0.16;0.0;1.0;0.22;0.488;0.515;1025.1
2015;Calheta [R.A.M.];0.0;0.125;0.017;0.0;0.54;0.226;0.127;0.706;1151.5
2015;Campo Maior;0.659;0.0;0.0;0.0;0.739;0.038;0.241;0.757;1185.3
2015;Cascais;0.254;0.0;0.052;0.0;0.686;1.0;1.0;0.706;1151.9
2015;Castro Verde;0.181;0.0;0.063;0.0;1.0;0.0;0.079;1.0;1346.7
2015;Coimbra;0.028;0.0;0.0;0.0;0.516;0.857;1.0;0.558;1053.6
2015;Constância;0.0;0.0;0.223;0.223;0.223;0.223;0.042;0.691;1141.6
2015;Entroncamento;0.0;0.0;0.0;0.0;0.324;0.916;0.247;0.616;1091.7
2015;Estarreja;0.188;0.0;0.0;0.0;0.84;1.0;0.532;0.599;1080.8
2015;Évora;0.07;0.0;0.0;0.0;0.791;0.519;0.989;0.533;1037.3
2015;Faro;0.233;0.0;0.091;0.0;0.986;0.794;1.0;0.602;1083.0
2015;Figueira da Foz;0.118;0.073;0.0;0.0;0.474;0.596;0.812;0.595;1078.3
2015;Funchal;0.101;0.321;0.007;0.0;0.575;0.519;1.0;0.617;1092.8
2015;Lisboa;0.24;0.0;0.105;0.0;0.666;0.955;1.0;1.0;1346.7
2015;Loures;0.359;0.0;0.139;0.0;0.871;0.955;1.0;0.686;1138.5
2015;Machico;0.059;0.0;0.0;0.0;0.523;0.812;0.264;0.559;1053.9
2015;Maia;0.251;0.003;0.0;0.0;0.749;1.0;1.0;0.748;1179.8
2015;Marinha Grande;0.0;0.0;0.0;0.0;0.498;0.296;0.516;0.809;1220.0
2015;Matosinhos;0.314;0.024;0.143;0.0;0.77;0.484;1.0;0.692;1142.7
2015;Oeiras;0.178;0.0;0.122;0.0;0.812;0.798;1.0;1.0;1346.7
2015;Oliveira de Frades;0.0;0.0;0.0;0.139;0.61;0.592;0.01;0.508;1020.4
2015;Palmela;0.314;0.0;0.028;0.0;0.693;0.289;0.531;0.993;1342.2
2015;Ponta Delgada;0.467;0.902;0.167;0.0;0.868;0.554;1.0;0.602;1082.8
2015;Porto;0.014;0.031;0.0;0.0;0.307;0.585;1.0;0.957;1318.3
2015;Porto Santo;0.293;0.958;0.0;0.0;1.0;0.895;0.032;0.616;1091.9
2015;Santa Cruz;0.007;0.568;0.0;0.0;0.784;0.0;0.421;0.56;1055.1
2015;Seixal;0.174;0.0;0.042;0.0;0.916;1.0;1.0;0.676;1131.6
2015;Setúbal;0.237;0.0;0.038;0.0;1.0;0.519;1.0;0.737;1172.0
2015;Sines;0.895;0.0;0.244;0.0;1.0;1.0;0.288;1.0;1346.7
2015;Sintra;0.47;0.0;0.153;0.0;0.958;1.0;1.0;0.72;1160.7
2015;Vale de Cambra;0.0;0.0;0.0;0.049;0.843;0.474;0.082;0.535;1038.0
2015;Vila do Porto;0.0;0.0;0.077;0.0;0.564;0.0;0.209;1.0;1346.7
2015;Vila Franca de Xira;0.279;0.0;0.22;0.0;1.0;0.962;1.0;0.668;1126.7
2015;Vila Nova de Gaia;0.157;0.0;0.003;0.0;0.69;0.254;1.0;0.553;1050.2
2015;Vila Velha de Ródão;0.22;0.22;0.22;0.22;0.22;0.22;0.02;0.647;1112.7
2016;Albergaria-a-Velha;0.049;0.0;0.0;0.0;0.648;0.216;0.264;0.51;1021.9
2016;Alcochete;0.296;0.0;0.0;0.0;1.0;1.0;0.18;1.0;1346.7
2016;Alenquer;0.456;0.0;0.091;0.0;0.645;0.115;0.215;0.655;1117.6
2016;Aljustrel;0.638;0.0;0.0;0.0;0.634;0.0;0.214;0.589;1073.9
2016;Almada;0.334;0.0;0.031;0.0;0.958;1.0;1.0;0.606;1085.7
2016;Amadora;0.429;0.0;0.125;0.0;1.0;0.861;1.0;0.966;1324.0
2016;Aveiro;0.059;0.0;0.0;0.0;0.526;0.181;0.943;0.665;1124.8
2016;Azambuja;0.136;0.0;0.094;0.0;0.99;0.725;0.237;0.601;1081.8
2016;Barreiro;0.24;0.0;0.021;0.0;1.0;0.829;1.0;0.611;1088.8
2016;Benavente;0.348;0.0;0.066;0.0;0.871;0.92;0.503;0.548;1047.1
2016;Calheta [R.A.M.];0.0;0.265;0.0;0.233;0.659;0.0;0.137;0.704;1150.6
2016;Campo Maior;0.505;0.0;0.0;0.0;0.882;0.0;0.224;0.802;1215.4
2016;Cascais;0.188;0.0;0.0;0.0;0.697;0.787;1.0;0.719;1160.3
2016;Castro Verde;0.244;0.0;0.125;0.0;0.718;0.0;0.072;1.0;1346.7
2016;Coimbra;0.049;0.0;0.0;0.0;0.439;0.666;1.0;0.586;1072.3
2016;Constância;0.0;0.0;0.0;0.0;0.185;0.185;0.044;0.814;1223.6
2016;Entroncamento;0.049;0.0;0.0;0.0;0.805;0.359;0.194;0.618;1093.6
2016;Estarreja;0.317;0.46;0.188;0.0;0.01;0.993;0.479;0.62;1094.4
2016;Évora;0.171;0.0;0.0;0.0;0.753;0.174;0.919;0.541;1042.6
2016;Faro;0.188;0.0;0.024;0.0;1.0;0.899;0.975;0.613;1089.8
2016;Figueira da Foz;0.021;0.15;0.0;0.0;0.484;0.463;0.791;0.654;1117.3
2016;Funchal;0.111;0.247;0.017;0.0;0.7;0.512;1.0;0.624;1097.4
2016;Horta;0.951;0.181;0.265;0.0;0.46;0.0;0.219;0.541;1042.3
2016;Leiria;0.31;0.0;0.0;0.0;0.739;0.418;0.665;0.517;1026.3
2016;Lisboa;0.286;0.0;0.042;0.0;0.676;0.728;1.0;1.0;1346.7
2016;Loures;0.443;0.0;0.024;0.0;0.962;0.864;1.0;0.702;1148.8
2016;Machico;0.289;0.314;0.0;0.0;0.561;0.537;0.236;0.549;1047.4
2016;Maia;0.355;0.077;0.0;0.0;0.676;0.763;1.0;0.692;1142.7
2016;Marinha Grande;0.0;0.0;0.0;0.0;0.491;0.77;0.44;0.795;1210.5
2016;Matosinhos;0.24;0.0;0.0;0.0;0.833;0.244;1.0;0.766;1191.6
2016;Oeiras;0.282;0.0;0.0;0.0;0.69;0.85;0.882;1.0;1346.7
2016;Oliveira de Azeméis;0.0;0.0;0.0;0.0;0.735;0.704;0.371;0.507;1019.6
2016;Palmela;0.289;0.22;0.0;0.0;0.686;0.0;0.464;1.0;1346.7
2016;Ponta Delgada;0.282;0.693;0.098;0.07;0.697;0.742;1.0;0.661;1121.9
2016;Porto;0.073;0.0;0.0;0.0;0.369;0.352;1.0;0.958;1318.7
2016;Porto Santo;0.105;0.174;0.0;0.523;1.0;1.0;0.019;0.592;1076.0
2016;Santa Cruz;0.087;0.0;0.125;0.0;0.62;0.0;0.402;0.554;1050.7
2016;Seixal;0.341;0.0;0.031;0.0;1.0;1.0;1.0;0.68;1134.3
2016;Setúbal;0.178;0.0;0.0;0.0;1.0;0.662;1.0;0.739;1173.7
2016;Sines;0.024;0.0;0.105;0.0;1.0;0.763;0.255;1.0;1346.7
2016;Sintra;0.551;0.0;0.105;0.0;0.965;1.0;1.0;0.728;1166.6
2016;Vale de Cambra;0.0;0.0;0.0;0.0;0.446;0.638;0.09;0.557;1052.8
2016;Vila do Conde;0.23;0.0;0.063;0.0;0.997;0.721;0.602;0.52;1028.3
2016;Vila do Porto;0.833;0.348;0.314;0.0;0.247;0.0;0.169;1.0;1346.7
2016;Vila Franca de Xira;0.429;0.0;0.0;0.0;1.0;1.0;1.0;0.719;1160.3
2016;Vila Nova de Gaia;0.279;0.0;0.0;0.0;0.641;0.206;1.0;0.567;1059.6
2016;Vila Velha de Ródão;0.174;0.174;0.174;0.174;0.174;0.174;0.018;0.6;1081.1
2017;Abrantes;0.01;0.146;0.0;0.0;0.672;0.404;0.634;0.55;1048.2
2017;Albergaria-a-Velha;0.125;0.0;0.0;0.0;0.603;0.118;0.228;0.546;1045.6
2017;Alcanena;0.136;0.0;0.0;0.0;0.557;0.488;0.056;0.527;1033.2
2017;Alcochete;0.209;0.0;0.178;0.0;0.746;1.0;0.188;1.0;1346.7
2017;Alenquer;0.408;0.0;0.003;0.0;0.76;0.571;0.302;0.662;1122.6
2017;Aljustrel;0.418;0.0;0.049;0.188;0.0;0.0;0.221;0.661;1121.7
2017;Almada;0.383;0.0;0.073;0.0;0.909;1.0;1.0;0.624;1097.4
2017;Amadora;0.571;0.0;0.143;0.0;1.0;0.979;1.0;1.0;1346.7
2017;Aveiro;0.157;0.0;0.0;0.0;0.53;0.084;0.859;0.709;1153.8
2017;Barreiro;0.181;0.0;0.017;0.0;0.934;0.78;1.0;0.589;1074.2
2017;Beja;0.275;0.0;0.066;0.0;0.537;0.505;1.0;0.534;1037.6
2017;Benavente;0.195;0.0;0.0;0.0;1.0;0.0;0.504;0.559;1054.0
2017;Braga;0.087;0.0;0.0;0.0;0.484;0.348;1.0;0.536;1038.7
2017;Calheta [R.A.M.];0.439;0.348;0.0;0.0;0.895;0.373;0.129;0.688;1139.6
2017;Campo Maior;0.408;0.0;0.0;0.0;0.61;0.07;0.24;0.793;1209.2
2017;Cascais;0.223;0.0;0.0;0.0;0.578;0.941;1.0;0.713;1156.1
2017;Castro Verde;0.491;0.0;0.0;0.0;0.92;0.0;0.075;1.0;1346.7
2017;Coimbra;0.063;0.0;0.0;0.0;0.683;0.721;1.0;0.626;1098.8
2017;Constância;0.439;0.0;0.0;0.0;0.76;0.753;0.048;0.789;1207.0
2017;Entroncamento;0.202;0.0;0.0;0.0;0.641;0.328;0.231;0.614;1090.9
2017;Estarreja;0.449;0.174;0.0;0.0;0.551;1.0;0.469;0.636;1105.0
2017;Évora;0.275;0.0;0.0;0.0;0.819;0.178;0.933;0.595;1078.1
2017;Faro;0.164;0.0;0.0;0.0;0.718;0.84;0.971;0.647;1112.9
2017;Figueira da Foz;0.0;0.0;0.0;0.0;0.286;0.603;0.707;0.671;1128.8
2017;Funchal;0.073;0.167;0.045;0.0;0.564;0.596;1.0;0.647;1112.8
2017;Horta;1.0;0.0;0.495;0.0;0.115;0.0;0.203;0.568;1060.2
2017;Ílhavo;0.348;0.0;0.0;0.0;0.686;1.0;0.478;0.553;1050.0
2017;Leiria;0.129;0.0;0.0;0.0;0.582;0.348;0.688;0.553;1050.1
2017;Lisboa;0.341;0.0;0.077;0.0;0.561;0.794;1.0;1.0;1346.7
2017;Loures;0.429;0.0;0.028;0.0;0.666;0.749;1.0;0.718;1159.9
2017;Machico;0.0;0.972;0.0;0.0;0.592;0.258;0.223;0.613;1089.9
2017;Maia;0.373;0.094;0.0;0.0;0.352;0.24;1.0;0.704;1150.3
2017;Mangualde;0.028;0.0;0.0;0.0;0.927;1.0;0.252;0.542;1043.1
2017;Marinha Grande;0.0;0.0;0.0;0.0;0.516;0.408;0.402;0.853;1248.9
2017;Matosinhos;0.282;0.0;0.0;0.0;0.662;0.157;1.0;0.811;1221.1
2017;Oeiras;0.289;0.0;0.0;0.0;0.624;0.941;0.971;1.0;1346.7
